regio2,districtPopTrend,districtPop
Koblenz,0.46,114024
Köln,0.54,1085664
Konstanz_Kreis,0.76,285325
Krefeld,0.32,227020
Kronach_Kreis,-0.34,67135
Kulmbach_Kreis,-0.19,71845
Kusel_Kreis,0.06,70526
Kyffhäuserkreis,-0.58,75009
Lahn_Dill_Kreis,0.26,253777
Landau_in_der_Pfalz,0.93,46677
Landsberg_am_Lech_Kreis,0.76,120071
Landshut,1.47,72404
Landshut_Kreis,1.03,158698
Leer_Kreis,0.63,169809
Leipzig,1.66,587857
Leipzig_Kreis,0.12,257763
Leverkusen,0.34,163838
Lichtenfels_Kreis,0.11,66838
Limburg_Weilburg_Kreis,0.32,172083
Lindau_Bodensee_Kreis,0.61,81669
Lippe_Kreis,0.17,348391
Lörrach_Kreis,0.54,228639
Lübeck,0.27,217198
Lüchow_Dannenberg_Kreis,0.13,48424
Ludwigsburg_Kreis,0.61,543984
Ludwigshafen_am_Rhein,0.85,171061
Lüneburg_Kreis,0.66,183372
Magdeburg,0.4,238697
Main_Kinzig_Kreis,0.69,418950
Main_Spessart_Kreis,0.07,126365
Main_Tauber_Kreis,0.41,132321
Main_Taunus_Kreis,0.68,237735
Mainz,0.86,217118
Mainz_Bingen_Kreis,0.62,210889
Mannheim,0.69,309370
Mansfeld_Südharz_Kreis,-0.9,136249
Marburg_Biedenkopf_Kreis,0.37,246648
Märkisch_Oderland_Kreis,-0.16,194328
Märkischer_Kreis,0.73,412120
Mayen_Koblenz_Kreis,0.44,214259
Meißen_Kreis,-0.11,242165
Memmingen,1.04,43837
Merzig_Wadern_Kreis,0.14,103366
Mettmann_Kreis,0.3,485684
Miesbach_Kreis,0.6,99726
Miltenberg_Kreis,0.17,128756
Minden_Lübbecke_Kreis,0.24,310710
Mittelsachsen_Kreis,-0.5,306185
Mönchengladbach,0.56,261454
Mühldorf_am_Inn_Kreis,1.04,115250
Mülheim_an_der_Ruhr,0.38,170880
München,0.8,1471508
München_Kreis,0.85,348871
Münster,0.77,314319
Neckar_Odenwald_Kreis,0.3,143535
Neu_Ulm_Kreis,0.89,174200
Neuburg_Schrobenhausen_Kreis,0.84,96680
Neumarkt_in_der_Oberpfalz_Kreis,0.86,133561
Neumünster,0.35,79487
Neunkirchen_Kreis,-0.08,132206
Neustadt_a.d._Aisch_Bad_Windsheim_Kreis,0.65,100364
Neustadt_a.d._Waldnaab_Kreis,0.06,94352
Neustadt_an_der_Weinstraße,0.33,53148
Neuwied_Kreis,0.49,181941
Nienburg_Weser_Kreis,0.33,121386
Nordfriesland_Kreis,0.48,165507
Nordhausen_Kreis,-0.39,83822
Nordsachsen_Kreis,0.14,197673
Nordwestmecklenburg_Kreis,0.35,156729
Northeim_Kreis,-0.11,132765
Nürnberg,0.53,518365
Nürnberger_Land_Kreis,0.51,170365
