regio1,median rent
Baden-Württemberg,1020
Bayern,1020
Berlin,1122
Brandenburg,545
Bremen,670
Hamburg,1232
Hessen,1010
Mecklenburg-Vorpommern,491
Niedersachsen,693
Nordrhein-Westfalen,660
Rheinland-Pfalz,780
Saarland,675
Sachsen,480
Sachsen-Anhalt,464
Schleswig-Holstein,755
Thüringen,470
